min/max,selection,crossover,mutation,x1,x2,best,mean,std,params
min,best,one_point,shuffle_indexes,-0.549159049987793,-1.5478506088256836,-1.9132182844200396,5.336703205365505,8.09085059295517,"Min/max: min, Selection: best, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,one_point,flip_bit,-0.5474281311035156,-1.545654296875,-1.9132190621744822,6.432890833677863,8.343291362918459,"Min/max: min, Selection: best, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,two_point,shuffle_indexes,-0.5481204986572266,-1.5468292236328125,-1.9132211544079625,5.6130083437333695,8.318163817892502,"Min/max: min, Selection: best, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,two_point,flip_bit,-0.5438194274902344,-1.5422096252441406,-1.9131900079994284,5.927986400776407,8.473416321915835,"Min/max: min, Selection: best, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,one_point,shuffle_indexes,-0.546630859375,-1.545654296875,-1.9132200728072295,-0.846184503142974,3.9828480815101406,"Min/max: min, Selection: tournament, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,one_point,flip_bit,-0.5494265556335449,-1.5480775833129883,-1.9132169522147748,-0.27590651627695706,4.45450824948056,"Min/max: min, Selection: tournament, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,two_point,shuffle_indexes,-0.5439453125,-1.5439453125,-1.9132046121136126,-0.8170715146900214,3.4478156244340226,"Min/max: min, Selection: tournament, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,two_point,flip_bit,-0.547816276550293,-1.5476503372192383,-1.9132224303899985,-0.08554101596284937,4.9450635867209805,"Min/max: min, Selection: tournament, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,one_point,shuffle_indexes,-0.5322327613830566,-1.5417490005493164,-1.9129512552648755,8.301262053180073,9.21596595503673,"Min/max: min, Selection: random, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,one_point,flip_bit,-0.5392298698425293,-1.5440587997436523,-1.9131461094485611,7.086470696464826,8.168244988873122,"Min/max: min, Selection: random, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,two_point,shuffle_indexes,-0.5428123474121094,-1.540867805480957,-1.9131693574484014,8.579095647204669,8.27875001224964,"Min/max: min, Selection: random, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,two_point,flip_bit,-0.5552172660827637,-1.552016258239746,-1.9131415144976338,7.3611642933761425,8.46294099836884,"Min/max: min, Selection: random, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,worst,one_point,shuffle_indexes,-0.5492219924926758,-1.5586185455322266,-1.9130565835812812,5.202240780961227,7.550862809461474,"Min/max: min, Selection: worst, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,worst,one_point,flip_bit,-0.5476326942443848,-1.545186996459961,-1.913215898514022,5.674195546863491,8.407261942164114,"Min/max: min, Selection: worst, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,worst,two_point,shuffle_indexes,-0.5495419502258301,-1.5534982681274414,-1.9131749940580116,6.877236109056375,9.52060277213839,"Min/max: min, Selection: worst, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,worst,two_point,flip_bit,-0.5481886863708496,-1.5434846878051758,-1.9131976180269055,6.9653610642281105,8.795011366841424,"Min/max: min, Selection: worst, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
